factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
TTMOverheadtoSales,Trailing 12-Month Overhead/Trailing 12-Month Sales,Historical Growth,0.0602846609093004,1.736128442497045,1.3445768288788646,1.736128442497045,39.0,156.0
SGAToSales,SG&A to Sales,Earnings Quality,0.04910030716513991,1.724504627209514,1.162649232380011,1.724504627209514,33.0,157.0
DebtChg1Y,Year over Year Change of Total Debt,Capital Efficiency,0.03324239569352416,1.7241381797169948,2.786859228793105,1.7241381797169948,18.0,158.0
CACL,Current Ratio,Earnings Quality,0.061792373879715035,1.7149186267025343,1.6253851061976925,1.7149186267025343,34.0,159.0
StdErr180D,180D Price TStat,Price Momentum,0.08936117438846436,1.7112839496689844,1.4951126391224947,1.7112839496689844,15.0,160.0
Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.040105350342078294,1.703165179102261,1.4779212681680978,1.703165179102261,40.0,161.0
Chg1YAmihud,1Y Chg in Amihud,Volatility,0.050264585728672095,1.662032817115364,1.9969810044649097,1.662032817115364,4.0,162.0
UnexpectedRecChg,Unexpected Receivables Change,Earnings Quality,0.03497987737763486,1.6612857805433516,1.7021040573913038,1.6612857805433516,35.0,163.0
AnnVol12M,12M Realized Price Volatility,Volatility,0.11036050527950403,1.6609338663213704,1.9189624096500064,1.6609338663213704,5.0,164.0
OCFAst,Operating Cash Flow to Asset,Earnings Quality,0.05469998684716737,1.6453595550633187,2.2451569283760033,1.6453595550633187,36.0,165.0
AdjFwdFCFPC,Adj Forward Free Cash Flow to Price Ratio,Valuation,0.04618438422343796,1.636466688648034,1.5961339489257016,1.636466688648034,35.0,166.0
PAdjChg3YCF,3Y Chg in Cash Flow to Price,Historical Growth,0.04129894247662724,1.6261861320549793,2.085221957442418,1.6261861320549793,41.0,167.0
Chg1YCF,1Y Chg in Cash Flow per Share,Historical Growth,0.02784248736738637,1.609074920690922,1.4114930821275553,1.609074920690922,42.0,168.0
HL52W,52W High Low,Price Momentum,0.08264063170772373,1.59065058545951,1.597380886380097,1.59065058545951,16.0,169.0
IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,Price Momentum,0.05684204811719651,1.5874344516795627,2.1453328305104438,1.5874344516795627,17.0,170.0
LTDE,Long Term Debt to Equity Ratio,Capital Efficiency,0.06663170174282329,1.584166241615638,1.3664945654514993,1.584166241615638,19.0,171.0
NIStab,Net Income Stability,Earnings Quality,0.05210900763424142,1.5740431848173844,1.7638580908837669,1.5740431848173844,37.0,172.0
AdjGFP,Adj Growth Flow to Price,Valuation,0.05983158334577676,1.556964781355357,1.3188195124507403,1.556964781355357,36.0,173.0
PM12M1M,12M - 1M Price Momentum,Price Momentum,0.08302099863150603,1.5471690331249208,1.467822931375594,1.5471690331249208,18.0,174.0
CashRatio,Cash Ratio,Earnings Quality,0.04955602315901242,1.5415172157536192,1.6430870058026237,1.5415172157536192,38.0,175.0
60MAVGTTMROA,Normalized ROA,Capital Efficiency,0.06966268227145811,1.535788988499775,1.7796084502549738,1.535788988499775,20.0,176.0
CapAcqRatio,Capital Acquisition Ratio,Capital Efficiency,0.037640358135490715,1.528840233659414,1.386891582453152,1.528840233659414,21.0,177.0
AstAdjChg3YEPS,3Y Chg in Asset Adjusted EPS,Historical Growth,0.0353075632811608,1.512721445448692,1.5047757274434428,1.512721445448692,43.0,178.0
NetProfitMargin,Net Profit Margin,Earnings Quality,0.03770516610780361,1.507752122869043,1.5733035293373276,1.507752122869043,39.0,179.0
PAdjChg3YEPS,3Y Chg in Earnings to Price,Historical Growth,0.039267249536854676,1.4769527209907338,1.376790080860877,1.4769527209907338,44.0,180.0
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.03522694757050404,1.458584645831583,1.262716005857241,1.458584645831583,45.0,181.0
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.05236695633023358,1.4482711841162228,1.4345377388106475,1.4482711841162228,40.0,182.0
CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,Price Momentum,0.04958614149310425,1.447810257479214,1.399421371466288,1.447810257479214,19.0,183.0
CashBurn,Cash Burn Rate,Earnings Quality,0.04230570400350042,1.4433757537074052,1.620972930538435,1.4433757537074052,41.0,184.0
FCFEqt,Free Cash Flow to Common Equity,Valuation,0.03182946967953337,1.4427278633230811,1.7378303945010891,1.4427278633230811,37.0,185.0
90DCV,90 Day Coefficient of Variation,Volatility,0.07067733173444335,1.439663088474566,1.5497938967665803,1.439663088474566,6.0,186.0
SalesToEPSChg,1Y Chg in Sales to Earnings,Earnings Quality,0.03465640913168233,1.422388945336224,1.2391986872680174,1.422388945336224,42.0,187.0
CFROIC,Cash Flow Return on Invested Capital,Capital Efficiency,0.03618931126666691,1.4189441980334054,1.861755820686086,1.4189441980334054,22.0,188.0
QuickRatio,Quick Ratio,Earnings Quality,0.05333623732399362,1.3924557747913775,1.5553193774829137,1.3924557747913775,43.0,189.0
InvToAst,Inventory to Assets Ratio,Earnings Quality,0.04146595490278693,1.3908563410470924,1.3686266768442827,1.3908563410470924,44.0,190.0
VolAdjRtn12M,Volatility adjusted 12M return,Price Momentum,0.06179318102094755,1.3869685400202594,1.3916173328102293,1.3869685400202594,20.0,191.0
OCFEqt,Operating Cash Flow to Equity,Capital Efficiency,0.03600789036784291,1.380383250231641,2.029624903615977,1.380383250231641,23.0,192.0
EPSToOCFChg,1Y Chg in EPS to Operating Cash Flow,Earnings Quality,0.026339479910503005,1.3754263854416489,1.2405712659046457,1.3754263854416489,45.0,193.0
AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Analyst Expectations,0.030763915156095223,1.3748023726130336,1.7643087212790414,1.3748023726130336,16.0,194.0
AdjSTO_6M,Adjusted 6 Month Average Share Turn Over,Price Momentum,0.05986749686427628,1.3359388894052888,1.3626793209713834,1.3359388894052888,21.0,195.0
Beta60M,60M CAPM Beta,Volatility,0.07641971458726804,1.3216795554144192,1.7214714592401776,1.3216795554144192,7.0,196.0
AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.0491348912124534,1.3193937381704488,1.3500919857996536,1.3193937381704488,46.0,197.0
WCTurn,Working Capital Turnover Ratio,Capital Efficiency,0.02581926412170721,1.315090910317978,1.3574555481643975,1.315090910317978,24.0,198.0
AstAdjChg3YFCF,3Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.03246662602848427,1.3137220292176301,1.0660780869842685,1.3137220292176301,47.0,199.0
SalesAcc,Sales Acceleration,Historical Growth,0.02432729256686139,1.3081785272951696,1.8813671411658157,1.3081785272951696,48.0,200.0
PSlopeSERR_26W,26W Price Stat,Price Momentum,0.06882577790766997,1.3076154911398268,1.271191691826914,1.3076154911398268,22.0,201.0
CVVolPrc60D,60 Day Coefficient of Variation of Volume to Price,Price Momentum,0.04048486005360208,1.303772097910466,1.2958438636488947,1.303772097910466,23.0,202.0
IO_ChgofNumHD,Change in Number of Holders,Price Momentum,0.0510950463977915,1.2859864727453993,1.193883038284674,1.2859864727453993,24.0,203.0
Chg4QSalesTrend,Change in Slope of 4-Quarter Trendline through Quarterly Sales,Historical Growth,0.04256996133947166,1.2833465815150895,1.1735011967788063,1.2833465815150895,49.0,204.0
PTIToNOA,Pretax Income to Net Operating Assets,Earnings Quality,0.02706785976225201,1.2785803836988132,1.9649370265640322,1.2785803836988132,46.0,205.0
AnnVol1M,1M Realized Price Volatility,Volatility,0.06237292475670708,1.2654968945540996,1.415156528217697,1.2654968945540996,8.0,206.0
ShortIntRatio,Short Interest Ratio,Price Momentum,0.06588411512351233,1.2384622283127285,1.5707749279755692,1.2384622283127285,25.0,207.0
PAYOUTRATIO,Payout Ratio,Capital Efficiency,0.035711861841441594,1.2199906291860316,1.215604204859582,1.2199906291860316,25.0,208.0
OCFStab,Operating Cash Flow Stability,Earnings Quality,0.034246628070132346,1.2023530332334929,1.1645024160703283,1.2023530332334929,47.0,209.0
EBITDAMargin,EBITDA Margin,Earnings Quality,0.060644494820866424,1.17936867621462,1.3968481248025029,1.17936867621462,48.0,210.0
Alpha12M6MPChg,6M Chg in 12M CAPM Alpha,Price Momentum,0.014110377204559432,1.1598082601751785,1.063874700700706,1.1598082601751785,26.0,211.0
CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,Price Momentum,0.04181807355559419,1.1513925577710384,1.0461473763485154,1.1513925577710384,27.0,212.0
Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.04570305439917077,1.1345795530041998,1.111218562377614,1.1345795530041998,50.0,213.0
SusGrwRate,Sustainable Growth Rate,Historical Growth,0.031197742499552872,1.118551073705701,1.0751404683496328,1.118551073705701,51.0,214.0
EstDiffC,Analyst Earnings Estimate Diffusion,Analyst Expectations,0.023784842892002445,1.0915766227448245,1.4216738370428155,1.0915766227448245,17.0,215.0
GrPftToAst,Gross Profit to Assets,Capital Efficiency,0.03599938280635451,1.0860823882249016,0.9735863379993976,1.0860823882249016,26.0,216.0
IO_Foreign,Foreign Institution Ownership,Price Momentum,0.03304564728364978,1.0416829587004675,1.0200301875324724,1.0416829587004675,28.0,217.0
CashToSales,Cash to Sales,Earnings Quality,0.02058677299526379,1.0271240130082655,0.9900860061502645,1.0271240130082655,49.0,218.0
