factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
HL1M,1M Price High - 1M Price Low,Price Momentum,0.017273277872770887,0.5290979813864578,0.6175309402487856,0.5290979813864578,42.0,251.0
REToAst,Retained Earnings to Total Assets,Earnings Quality,0.020461326007459757,0.5265567067504708,0.5065385188461262,0.5265567067504708,54.0,252.0
RONA,Return on Net Tangible Assets,Valuation,0.018735983362181408,0.5191879939415689,0.5278732521510914,0.5191879939415689,40.0,253.0
Alpha60M,60M CAPM Alpha,Price Momentum,0.018154620771862584,0.517415758132342,0.5223487969283722,0.517415758132342,43.0,254.0
stdRR36M,Standardized 36M Residual,Price Momentum,0.019135766244352093,0.5127213805504817,0.6051092169929797,0.5127213805504817,44.0,255.0
PrcTo52WH,Closing Price to 52 Week High,Price Momentum,0.024412959871486173,0.5104045583740747,0.5724548519887562,0.5104045583740747,45.0,256.0
3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.025674335992532216,0.5047099489357929,0.6751993048690609,0.5047099489357929,56.0,257.0
ChgSalesMargin,Sales to Gross Profit Margin Growth,Earnings Quality,0.015527437215069773,0.5003169105423464,0.4135640298946141,0.5003169105423464,55.0,258.0
PSlopeSERR_26W,26W Price Stat,Price Momentum,0.0205673922967462,0.49781703299541147,0.5401340684748522,0.49781703299541147,46.0,259.0
CVVolPrc20D,20 Day Coefficient of Variation of Volume to Price,Price Momentum,0.01907272332418719,0.4793941692913401,0.5050515103459124,0.4793941692913401,47.0,260.0
LogMktCapCubed,Log of Market Capitalization Cubed,Size,0.014035920993407114,0.47457901507034794,0.5282259437347985,0.47457901507034794,3.0,261.0
IndiDivP,Indicated Annual Dividends to Price Ratio,Valuation,0.01816169636996956,0.4362320235621232,0.43625598781182456,0.4362320235621232,41.0,262.0
EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,Analyst Expectations,0.013781374855038386,0.4356635763828489,0.3955193656402784,0.4356635763828489,23.0,263.0
