ddt,ticker,isin,gvkeyiid,style,ls_weight,style_ls_weight,factor_weight
2026-08-31,601398 CH Equity,CNE000001P37,27937802W,MP,-0.00013473394828495238,-0.00013473394828495238,0.1601112017098659
2026-08-31,601456 CH Equity,CNE1000041D8,32001602W,MP,8.145628442915385e-05,8.145628442915385e-05,0.13756924624715378
2026-08-31,601555 CH Equity,CNE1000019P8,31039601W,MP,0.0003619875199553248,0.0003619875199553248,0.2808302781830048
2026-08-31,601577 CH Equity,CNE100003F50,32832601W,MP,6.03252343177148e-05,6.03252343177148e-05,0.2983065491511482
2026-08-31,601600 CH Equity,CNE1000000T0,14635202W,MP,9.100580691883184e-07,9.100580691883184e-07,0.25390545976183665
2026-08-31,601601 CH Equity,CNE1000008M8,28768601W,MP,0.00026019760505067866,0.00026019760505067866,0.2982976661959269
2026-08-31,601607 CH Equity,CNE000000C82,26012601W,MP,0.0002911222343706032,0.0002911222343706032,0.2428485870489514
2026-08-31,601615 CH Equity,CNE100003HQ0,33080601W,MP,-0.00040971695116705074,-0.00040971695116705074,0.3976951001765217
2026-08-31,601618 CH Equity,CNE100000FX6,29267601W,MP,0.0003311220259756625,0.0003311220259756625,0.37110549177735586
2026-08-31,601628 CH Equity,CNE000001Q93,25950302W,MP,0.00018940150415806334,0.00018940150415806334,0.22438872390213627
2026-08-31,601658 CH Equity,CNE100003PZ4,32249402W,MP,-3.2572096762723227e-05,-3.2572096762723227e-05,0.15156658668589015
2026-08-31,601665 CH Equity,CNE100005154,34857501W,MP,-1.3891224636294476e-05,-1.3891224636294476e-05,0.08055730062908992
2026-08-31,601668 CH Equity,CNE100000F46,29243101W,MP,-4.74170691968429e-05,-4.74170691968429e-05,0.337968963772158
2026-08-31,601669 CH Equity,CNE1000017G1,30319701W,MP,-6.0894688776472835e-06,-6.0894688776472835e-06,0.19254593341173787
2026-08-31,601688 CH Equity,CNE100000LQ8,29404801W,MP,-0.00019020168312807275,-0.00019020168312807275,0.17806788521086891
2026-08-31,601689 CH Equity,CNE1000023J3,31939401W,MP,0.0004952740714083679,0.0004952740714083679,0.285708112109634
2026-08-31,601696 CH Equity,CNE100003R64,33709101W,MP,-6.225815076186341e-05,-6.225815076186341e-05,0.22132917540248456
2026-08-31,601698 CH Equity,CNE100003PX9,33276601W,MP,-0.0008234509808270995,-0.0008234509808270995,0.19864791642643784
2026-08-31,601699 CH Equity,CNE000001NT7,27871801W,MP,-0.00017965524287161103,-0.00017965524287161103,0.2564133607234946
2026-08-31,601717 CH Equity,CNE100000S58,29504101W,MP,0.00022901841926142454,0.00022901841926142454,0.24628872985356726
2026-08-31,601727 CH Equity,CNE100000D55,27283602W,MP,0.00013322854876222524,0.00013322854876222524,0.2985825438178472
2026-08-31,601728 CH Equity,CNE100004QG0,25433805W,MP,-5.7941756476035675e-05,-5.7941756476035675e-05,0.2753742381910128
2026-08-31,601766 CH Equity,CNE100000CP9,28945301W,MP,0.00035812701092204687,0.00035812701092204687,0.42534415791369384
2026-08-31,601777 CH Equity,CNE100000X10,29587201W,MP,-0.0006840150425425566,-0.0006840150425425566,0.28141650386751327
2026-08-31,601788 CH Equity,CNE100000FD8,29246801W,MP,-0.00025420172398454507,-0.00025420172398454507,0.2270631323110788
2026-08-31,601799 CH Equity,CNE1000011H2,29652801W,MP,0.00015691855208839034,0.00015691855208839034,0.37060801461999204
