,PM6M,52WSlope,SalesAcc,BuyToSellRecLess3MEMA,Rev3MFY2C,RevMagFY1C,AdjEPSNumRevFY1C,HL52W,EstDiffC,AdjRevMagC,EPSNumRevFY1C,6MTTMSalesMom,BuyToSellRecLess3MSMA,90DCV,PM12M1M,Rev3MFY1C,3MSalesMom,OEP,AnnVol1M,SUEC,RskAdjRS,Chg1YOCF,EP,FwdEPC,StdErr180D,PA52WL20DLag,Beta60M,AdjEPSNumRevFY2C,4To52WPrcOsc,50To200PrcRatio,EPSStab,LTDE,52WVPT20DLag,CapExToAst,AstAdjChg1YFCF,5DMoneyFlowVol,FCFSales,PRatio15To36W,TobinQ,6MAvgChg1MRecC,6MChgTgtPrc,6MChgTgtPrcGap,50DVolSig,OCFRatio,10DMACD,PM1M,24MResRtnVar,IntCovRatio,Alpha60M,Chg1YFCF
EPSNumRevFY1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6MTTMSalesMom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuyToSellRecLess3MSMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90DCV,-0.10055105433068322,0.09563681945448403,-0.09870089531541681,0.017838201426111464,0.047225528810627006,0.01590126428609727,0.3726100505920826,0.3255400680887554,0.4206210375007547,0.034430453102413584,-0.1644903473030981,-0.4948747159654938,0.009114177998650622,1.0,0.307507811741761,0.2428393934397051,-0.17938856512701515,-0.17973798250847836,0.5368662553005641,-0.35772203300309185,-0.19098996145736563,-0.03585205445946791,-0.17940904460132406,0.05009961234806993,0.3244363824206402,0.5478079458334074,0.1653278841003783,-0.12310499864600338,0.27781833226733277,0.2535981130044037,-0.1818571343929073,0.1512983388352396,0.6827725097545801,0.16842985691995777,-0.494384639129548,-0.3397277248648575,-0.28013688831564054,0.16436877305270792,-0.162454090653338,-0.21451314505594574,0.13403982180796134,-0.23187140211051394,0.010205067152679945,-0.02978958532937551,0.16587470615690483,0.5813083992855409,-0.45225529585635743,0.4663392299179075,-0.0004392103071595358,-0.3871319583621163
PM12M1M,-0.5809649802918591,0.6662516510940114,-0.2447818193769902,0.44708969733654913,0.8654850360169812,0.6258723068086705,0.4413742753918507,0.955851695412778,0.41463598481812075,0.4571615681436588,0.1332167295287719,-0.5435213782467826,0.48210604813387037,0.6834610948966068,1.0000000000000002,0.24118568505206425,-0.3555965419488518,-0.27482039610952164,0.9651184702127638,0.0025550681206138255,-0.37186665235330085,0.6746811243291134,-0.27414259499455723,-0.40791922524835394,0.6208432986041276,0.9842778265406442,0.34513472432853864,0.36633257082518067,0.9169913328262302,0.657616821665915,0.363735483591872,0.5035319889593115,0.8009347866337584,0.977346661520719,0.3127662113311367,0.4861473152677545,0.7780992003365009,0.41679317035331687,-0.5640394271476967,0.7426395385855964,0.9452805157685272,-0.2696307145121154,0.47023014846006045,0.913249381587455,0.7269542648952656,0.7432711836884764,-0.722242342467832,-0.2945598426373949,0.057698221451275906,0.7328312201659286
Rev3MFY1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3MSalesMom,-0.1763979480407819,0.21421339459201857,0.5911305235879982,0.4254323704086767,-0.25066301427920734,-0.11854271826504496,0.4570306919477303,0.5746607485474449,0.49854065542214543,-0.15288253616115133,0.0344665544857686,-0.05341664209476855,0.38886944353541336,0.3557303929154571,0.14982365460641844,0.18134411245110288,0.9999999999999999,-0.01733068647774847,0.5097034857254399,-0.032856508129386626,-0.3739304223203768,0.5214298892950607,-0.016519743803558442,0.6430327855106723,0.04120112778032265,0.10434775385815237,0.657428924154263,-0.5167049056977665,0.30608153016813944,0.09571873131374138,-0.35673568790871296,-0.2023060905671381,0.10188364809642914,-0.009737422116312835,-0.008893832706476793,0.5000995329475164,0.3264401350411427,-0.14901331835379222,0.06425955439505214,0.29819881816604554,0.6213074010513968,-0.6916108246653517,0.6542749948157649,0.7226444283920898,0.7145011949045642,-0.3971936993613917,0.5006801194078829,-0.08191318271627894,-0.6849421807159968,-0.04416495239619053
OEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnVol1M,-0.4705923508518315,-0.25553738252551694,-0.35285668292113825,-0.08242250464858271,-0.35142490702243023,-0.2477355440307589,0.19872464161243245,0.3399147971301048,0.16773255171876877,-0.23478738278827807,-0.49104356991167997,-0.7435053158699099,-0.23562521340918305,0.6672478630206301,0.03338439531377196,-0.2648032438921397,-0.45670523494514087,-0.3958841753321651,1.0,-0.6209004699144229,-0.8682479275274573,-0.5254658374535517,-0.39572753648898373,-0.2243907839475059,0.170473550980947,0.3767455826005481,0.7134108591594187,-0.12992569524573797,0.06664025286500051,0.2187018028259525,-0.5514199597971775,0.2918571193967499,0.5492007174643969,0.04956663263497189,-0.43386378101931466,-0.38717032960628645,-0.4779585817144878,0.05265466824045628,-0.3561464388089493,-0.34772027382408094,-0.10307373246251017,-0.7266374426690345,0.7361535765566363,-0.24032951635393707,0.47747789788470846,0.44447306024467576,-0.5967131859198226,0.21168447869878507,-0.2875946484958751,-0.42128055090581545
SUEC,-0.10379012817339368,-0.17606149786448885,-0.44418623445593536,-0.7663961054729194,0.5363709727357223,0.4373598033407664,0.09326348509038028,-0.3150938360322668,0.06854714664738788,0.5799893748645437,0.5627970534936108,0.2107507172700754,-0.7811410306141552,0.032146254295171886,0.14889176161505382,0.1538804893660801,-0.2902025591034568,0.2654208571181729,-0.04025046760196807,0.9999999999999999,0.5306304627808552,-0.12137046748440565,0.26527008402532726,-0.0723728593393731,0.2313174605807699,0.20730472095315788,-0.44016851720514893,0.8447801952601393,-0.10704758019741846,-0.3469531599476502,0.8706955654009034,0.0011423127269699698,-0.1526377666226797,0.25866535906057114,0.4042432831499989,-0.2636016425344673,0.2030591280423135,-0.1627093427740953,-0.03397563216906481,-0.21937346797121443,-0.1409058177975793,0.05487892575657913,-0.04931042783416791,-0.5484215628581318,-0.48407976440647654,0.12085969297705182,-0.31186162675587675,-0.022456526357168532,0.5473319672187567,-0.07044259608710143
