factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
FCFP,Free Cash Flow to Price,Valuation,0.025285873393405378,1.7054225500168774,1.6785887406753948,1.7054225500168774,3.0,48.0
AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.026388422566648417,1.6949052562284639,1.8031958877951448,1.6949052562284639,13.0,49.0
WCAccruals,Working Capital Accruals,Earnings Quality,0.028985419541762036,1.6934369002267433,1.8260790965257503,1.6934369002267433,14.0,50.0
Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.029260671203427346,1.6869882683424933,1.6100330886251268,1.6869882683424933,15.0,51.0
RecTurn,Receivables Turnover Ratio,Capital Efficiency,0.029506152369086935,1.6758927072150622,1.714819004730442,1.6758927072150622,6.0,52.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.02703927228043801,1.6725649133545673,1.6078094522114186,1.6725649133545673,16.0,53.0
OCFP,Operating Cash Flow to Price,Valuation,0.035562975955167664,1.6700993926467382,2.0453728012897234,1.6700993926467382,4.0,54.0
Chg3YFCF,3Y Chg in Free Cash Flow per Share,Historical Growth,0.03204401374952415,1.6623128493043635,1.5826972080330155,1.6623128493043635,17.0,55.0
IO_Concentration,Institution Ownership Concentration,Price Momentum,0.03588680026806945,1.625930460119383,1.5702989809100818,1.625930460119383,4.0,56.0
StdErr180D,180D Price TStat,Price Momentum,0.04127361638415761,1.6171783693060335,1.751980526729759,1.6171783693060335,5.0,57.0
AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.02932173768981583,1.6031577785707891,1.6528720675425144,1.6031577785707891,18.0,58.0
Chg1YCF,1Y Chg in Cash Flow per Share,Historical Growth,0.029578775281604353,1.5539558869204406,1.6095086631090247,1.5539558869204406,19.0,59.0
6MChgTgtPrcGapEMA,Target Price Gap to 6M EMA,Analyst Expectations,0.0358429189637528,1.537461208994105,1.470071190515966,1.537461208994105,12.0,60.0
