style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.059073320426603355,0.12144838610526651,0.025572535022347066,0.06512687691246523,0.00949236008476596,0.22462604683583082,0.03682605618179807,0.22093656600974726,0.04,0.19689785242117552,0.9999999999999998
factor,,,,,Rev3MFY1C,RevMagFY1C,TobinQ,SalesToEPSChg,6MTTMSalesMom,SalesAcc,52WSlope,PM6M,CashEV,90DCV,AGG
63,2026-03-31,001309 CH Equity,CNE100005GP9,35376601W,,,,-0.018867924528301886,-0.01020408163265306,0.012987012987012988,0.005813953488372093,,,,0.0018056565497395838
64,2026-03-31,001965 CH Equity,CNE1000032B1,32631201W,,,,,-0.01020408163265306,,-0.011904761904761904,,,-0.010101010101010102,-0.002524133444100671
65,2026-03-31,002001 CH Equity,CNE000001J84,27070401W,0.010638297872340425,0.011494252873563218,,,-0.01020408163265306,-0.013333333333333334,,,,,-0.0010674767350160738
66,2026-03-31,002007 CH Equity,CNE000001JN8,27076001W,,,,,,,,,,,0.0
67,2026-03-31,002008 CH Equity,CNE000001JQ1,27069601W,-0.010752688172043012,-0.011627906976744186,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,0.009900990099009901,0.003127406285891155
68,2026-03-31,002027 CH Equity,CNE000001KK2,27088901W,,-0.011627906976744186,-0.02631578947368421,,,,,0.03225806451612903,,-0.010101010101010102,0.0030529668200766852
69,2026-03-31,002028 CH Equity,CNE000001KM8,27088301W,0.010638297872340425,0.011494252873563218,,,0.009900990099009901,,0.005813953488372093,,-0.02857142857142857,0.009900990099009901,0.003139113325484378
70,2026-03-31,002049 CH Equity,CNE000001M14,27334601W,,,,,0.009900990099009901,0.012987012987012988,,,,-0.010101010101010102,0.0010223379545203366
71,2026-03-31,002050 CH Equity,CNE000001M22,27311401W,0.010638297872340425,0.011494252873563218,,,,-0.013333333333333334,0.005813953488372093,,,,-0.0007565109400234327
72,2026-03-31,002056 CH Equity,CNE000001N70,27823101W,0.010638297872340425,,,-0.018867924528301886,0.009900990099009901,,,,,-0.010101010101010102,-0.0024952528522999675
73,2026-03-31,002064 CH Equity,CNE000001NK6,27844801W,,,,0.01818181818181818,,,,,,,0.001184125034772095
74,2026-03-31,002074 CH Equity,CNE000001NY7,27918201W,-0.010752688172043012,-0.011627906976744186,,,,,0.005813953488372093,,,,-0.0018332825521410433
75,2026-03-31,002078 CH Equity,CNE000001P52,27939301W,,,,,,,-0.011904761904761904,,,-0.010101010101010102,-0.0024272726269091815
76,2026-03-31,002080 CH Equity,CNE000001P78,27944101W,,,,,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,,0.0032253101284949784
77,2026-03-31,002085 CH Equity,CNE000001PF1,27964001W,,,,,,,,,-0.02857142857142857,,-0.001142857142857143
78,2026-03-31,002128 CH Equity,CNE100000098,28433601W,,,,,,,0.005813953488372093,,,,0.00021410497780115158
79,2026-03-31,002129 CH Equity,CNE1000000B8,28433701W,-0.010752688172043012,-0.011627906976744186,,,0.009900990099009901,0.012987012987012988,-0.011904761904761904,,,,0.0005254121900159406
80,2026-03-31,002131 CH Equity,CNE1000000F9,28434001W,,,,0.01818181818181818,-0.01020408163265306,,,-0.03333333333333333,,0.009900990099009901,-0.004327804295405932
81,2026-03-31,002138 CH Equity,CNE1000000M5,28503801W,,,,,,,,,,,0.0
82,2026-03-31,002142 CH Equity,CNE1000005P7,28587701W,,,,,,,,-0.03333333333333333,,0.009900990099009901,-0.005415068512986537
83,2026-03-31,002152 CH Equity,CNE100000650,28574301W,,,,,,,-0.011904761904761904,,,-0.010101010101010102,-0.0024272726269091815
84,2026-03-31,002156 CH Equity,CNE1000006C3,28580401W,,,,,,,,,,,0.0
85,2026-03-31,002157 CH Equity,CNE1000006H2,28583101W,,,,-0.018867924528301886,0.009900990099009901,0.012987012987012988,0.005813953488372093,,,0.009900990099009901,0.003945984817484949
86,2026-03-31,002179 CH Equity,CNE1000007T5,28706701W,-0.010752688172043012,-0.011627906976744186,,,,-0.013333333333333334,-0.011904761904761904,,,-0.010101010101010102,-0.007469674114662454
