factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total,tstat,newey_west_tstat
CurLiaP,Current Liability to Price,Valuation,0.03933773305229593,11.0,86.0,1.3612201435698075,1.5157316776682075
AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.03922853407313598,7.0,87.0,2.6590874998891754,2.658201537358765
PRatio15To36W,15/36 Week Price Ratio,Price Momentum,0.03910744511439512,28.0,88.0,1.585792373088134,1.536685711669198
MaxRetPayoff,Max Daily Return in the Past 6 Months,Price Momentum,0.03906742626702964,29.0,89.0,1.5039180020254428,1.720193281155639
GrPftToAst,Gross Profit to Assets,Capital Efficiency,0.03894975958292779,8.0,90.0,1.7052637149516574,1.8620690809075202
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.038763628984936904,16.0,91.0,2.3513764025959873,2.248514119234064
IO_ChgofNumHD,Change in Number of Holders,Price Momentum,0.03840644021884865,30.0,92.0,1.9859140339309658,2.107438879847456
AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.03800273543100863,17.0,93.0,2.1897665450827897,2.1108547988539303
4To52WPrcOsc,4W to 52W Price Oscillator,Price Momentum,0.037591236921444615,31.0,94.0,1.2885816064327855,1.237088051680698
InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.037417600318344624,12.0,95.0,1.527914490593087,1.5010886710344433
AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.03694020014884947,10.0,96.0,2.2915335469759026,2.4352235951628476
AccrualRatioBS,Accrual Ratio - Balance Sheet,Earnings Quality,0.03619406098821698,11.0,97.0,2.1681696102531864,2.230886540724379
PrcTo52WH,Closing Price to 52 Week High,Price Momentum,0.03584731222193982,32.0,98.0,1.3465712788234316,1.333146293499103
GFP,Growth Flow to Price,Valuation,0.03565855644589244,13.0,99.0,1.510166454319894,1.585846011090791
AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.03501537975125113,18.0,100.0,2.163843482534352,2.257588229747278
IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.03427121197369165,33.0,101.0,1.7511938406121146,1.8428470821455403
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.033931567150949915,19.0,102.0,2.3931306206651906,2.622206328454984
Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.03374188436422698,20.0,103.0,1.7128373792014233,1.756662059604303
IO_StabofChgHD,Stability of Change in Number of Holders,Price Momentum,0.0331532272734385,34.0,104.0,1.8501872659005227,1.908852103920562
FCFP,Free Cash Flow to Price,Valuation,0.03287113814545917,14.0,105.0,2.1719130170809886,2.118699992714726
EBITDAP,EBITDA to Price,Valuation,0.032772704863471835,15.0,106.0,1.2167085132468785,1.3024359217755768
CFEqt,Cash Flow to Equity,Valuation,0.03237489181800912,16.0,107.0,1.472983830154281,1.4278784964354365
LTDA,Long Term Debt to Assets Ratio,Capital Efficiency,0.03217749097839162,9.0,108.0,1.6783134062150433,1.9180817693624561
AccrualRatioCF,Accrual Ratio - Cash Flows,Earnings Quality,0.03178325440618357,12.0,109.0,1.7747817816487232,1.8499477902772319
DIVIDENDGROWTH,Dividend Growth,Historical Growth,0.031777823436554,21.0,110.0,1.7903384850568345,1.6715336313150522
OPM,Operating Margin,Earnings Quality,0.0315320944858275,13.0,111.0,1.7615383314223723,1.723501437238375
CashP,Cash to Price,Valuation,0.03149246349737944,17.0,112.0,1.2166165426220148,1.3290887559574418
AstP,Assets to Price Ratio,Valuation,0.031347049090316936,18.0,113.0,1.0614160732657012,1.2181123246225187
DivP,Dividends to Price Ratio,Valuation,0.031083784819028626,19.0,114.0,1.2775941792626255,1.35053782342524
CashEV,Cash to EV Ratio,Valuation,0.030936215489332675,20.0,115.0,1.4046578375934706,1.4919739062427388
AdjFwdEPC,Adjusted Forward Earnings to Price,Valuation,0.030875442365772887,21.0,116.0,1.1007904557676909,1.2071186323008827
GPMargin,Gross Profit Margin,Earnings Quality,0.030785118442313353,14.0,117.0,1.6367132302928058,1.7981820064830605
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.030761534075558927,15.0,118.0,2.3122171512462044,2.2427983689709414
RecTurn,Receivables Turnover Ratio,Capital Efficiency,0.030730482507573598,10.0,119.0,1.7414886442686248,1.8231792452145326
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.03069577250270128,11.0,120.0,2.134844289762552,2.048718608728175
FwdEPC,Forward Earnings to Price,Valuation,0.03055417130529592,22.0,121.0,1.107484934767236,1.2020494125598733
AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.02928866267063568,22.0,122.0,1.471622577908198,1.4413075900598018
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.02896497777145912,23.0,123.0,2.2197040333259097,2.4626766126050517
CFEV,Net Cash Flow to Enterprise Value,Valuation,0.02896118171101847,23.0,124.0,1.354257186425246,1.4940287988221168
STO_6M,6 Month Average Share Turn Over,Price Momentum,0.02890897907902934,35.0,125.0,1.320744885295266,1.2716884235232158
AstAdjChg3YFCF,3Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.028871320987209792,24.0,126.0,1.984116559129669,1.964759193546835
ChgSalestoChgEPS,Change of Sales to Change of EPS,Earnings Quality,0.028835199258120614,16.0,127.0,1.5329780827878792,1.5886877374192199
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.028833396439445602,17.0,128.0,2.5773568876050064,2.6447086129767206
