style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
61,2025-11-30,002007 CH Equity,CNE000001JN8,27076001W,,-0.012345679012345678,,,0.006211180124223602,,,,,-0.0010102307117448087
62,2025-11-30,002008 CH Equity,CNE000001JQ1,27069601W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.004409157788182931
63,2025-11-30,002027 CH Equity,CNE000001KK2,27088901W,,,-0.043478260869565216,,,,,,,-0.0021711724134907454
64,2025-11-30,002028 CH Equity,CNE000001KM8,27088301W,0.011904761904761904,0.012048192771084338,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.004409157788182931
65,2025-11-30,002049 CH Equity,CNE000001M14,27334601W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
66,2025-11-30,002050 CH Equity,CNE000001M22,27311401W,,0.012048192771084338,,,-0.012345679012345678,0.006172839506172839,,,0.010416666666666666,-0.00036614049047581284
67,2025-11-30,002056 CH Equity,CNE000001N70,27823101W,,,,0.013888888888888888,0.006211180124223602,,,,,0.00288383500123971
68,2025-11-30,002064 CH Equity,CNE000001NK6,27844801W,-0.012048192771084338,-0.012345679012345678,,,,-0.012345679012345678,,,,-0.0030793516651658583
69,2025-11-30,002074 CH Equity,CNE000001NY7,27918201W,0.011904761904761904,0.012048192771084338,,-0.014084507042253521,,0.006172839506172839,,,0.010416666666666666,0.0015060038348807532
70,2025-11-30,002078 CH Equity,CNE000001P52,27939301W,,,,,,,,,-0.010752688172043012,-3.0673303050109864e-05
