style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.020833352891,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,0.046874985332,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,ROAStddev20Q,ROEStddev20Q,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO_6M,OCFEV,90DCV,Beta60M,AGG
41,2026-06-30,000776 CH Equity,CNE0000008L2,27199901W,,,0.010526315789473684,0.010526315789473684,0.009708737864077669,,,,-0.017241379310344827,0.006578947368421052,,,,,,,,,0.0031847133757961785,0.010101010101010102,,,,,,,0.01,0.0025,0.002082528016352237
42,2026-06-30,000783 CH Equity,CNE000000SH3,25137601W,-0.007633587786259542,,,,,,,,,0.006578947368421052,,0.0125,,,,,,,0.0031847133757961785,0.010101010101010102,,,,,,,0.01,0.0025,0.0009023776100600554
43,2026-06-30,000786 CH Equity,CNE000000QS4,25983101W,-0.007633587786259542,,,,,-0.011627906976744186,,-0.012048192771084338,,0.006578947368421052,,,,,0.013888888888888888,,,,0.0031847133757961785,,,,,,0.003355704697986577,0.0064516129032258064,-0.005154639175257732,0.0025,-0.0006395975343198873
44,2026-06-30,000792 CH Equity,CNE000000SW2,26009701W,0.014285714285714285,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,-0.005154639175257732,0.0025,-0.0013909397383389903
45,2026-06-30,000807 CH Equity,CNE000000VG9,26026901W,0.014285714285714285,,0.010526315789473684,0.010526315789473684,0.009708737864077669,-0.011627906976744186,-0.016129032258064516,,,,,,,,,,,,,,,,,,,,-0.005154639175257732,0.0025,0.0006860390971343781
46,2026-06-30,000830 CH Equity,CNE000000WN3,27202401W,,,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,-0.009900990099009901,-0.000918418286890576
47,2026-06-30,000831 CH Equity,CNE000000WS2,26016801W,-0.007633587786259542,,,,,,-0.016129032258064516,,,,,,,,,-0.011627906976744186,,,,,,,,,,,-0.005154639175257732,0.0025,-0.0014805569278522992
48,2026-06-30,000858 CH Equity,CNE000000VQ8,24368301W,-0.007633587786259542,-0.010869565217391304,,-0.010526315789473684,-0.00980392156862745,,,,0.008771929824561403,-0.013157894736842105,,,-0.022222222222222223,,,,,,-0.012658227848101266,,,,0.01282051282051282,,,,,,-0.0020374043332813305
49,2026-06-30,000876 CH Equity,CNE000000VB0,25955001W,,-0.010869565217391304,,-0.010526315789473684,-0.00980392156862745,,,0.02127659574468085,0.008771929824561403,0.006578947368421052,,0.0125,0.007575757575757576,,,,,,0.0031847133757961785,,,,0.01282051282051282,,,0.0064516129032258064,,,0.001242634277469404
50,2026-06-30,000878 CH Equity,CNE000000W13,26027101W,,,,,,,,-0.012048192771084338,,,,,,,,0.011627906976744186,,,,,,,,,,,,0.0025,-0.0002053231066570766
51,2026-06-30,000893 CH Equity,CNE000000XS0,27206301W,,,,,,0.011494252873563218,0.015873015873015872,,,,,,,,,-0.011627906976744186,,,,,,,,,,,-0.005154639175257732,0.0025,0.0009161558592312318
52,2026-06-30,000895 CH Equity,CNE000000XM3,26000401W,0.014285714285714285,,,,0.009708737864077669,0.011494252873563218,0.015873015873015872,,,0.006578947368421052,0.037037037037037035,0.0125,0.007575757575757576,0.058823529411764705,0.013888888888888888,,,,0.0031847133757961785,,,,,,,0.0064516129032258064,,,0.005618103438413222
53,2026-06-30,000932 CH Equity,CNE000001006,25133201W,,-0.010869565217391304,-0.010638297872340425,,-0.00980392156862745,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,-0.009900990099009901,-0.0009345080987893189
54,2026-06-30,000933 CH Equity,CNE000001097,26000301W,,,0.010526315789473684,0.010526315789473684,,-0.011627906976744186,-0.016129032258064516,0.02127659574468085,,,,,,,,,-0.011627906976744186,,,,,,,,,,-0.005154639175257732,0.0025,0.0003163913285797439
55,2026-06-30,000938 CH Equity,CNE0000010T1,26022301W,,,,,,,,,,0.006578947368421052,,,,,,,0.011627906976744186,,0.0031847133757961785,,0.005319148936170213,,,,0.003355704697986577,,-0.005154639175257732,0.0025,0.0007278555436791844
56,2026-06-30,000960 CH Equity,CNE0000011D3,27024101W,-0.007633587786259542,,,,,0.011494252873563218,0.015873015873015872,,,,,,,,,,,,,,,,,,,,,0.0025,0.0010422034688840215
57,2026-06-30,000963 CH Equity,CNE0000011S1,26000801W,,,,,,,,,,,0.037037037037037035,,,,,0.011627906976744186,0.011627906976744186,,,0.010101010101010102,0.005319148936170213,,,,-0.023255813953488372,0.0064516129032258064,,0.0025,0.0010453659634350769
58,2026-06-30,000975 CH Equity,CNE0000012L4,27115501W,,,0.010526315789473684,0.010526315789473684,0.009708737864077669,-0.011627906976744186,-0.016129032258064516,,,,,,,,,,,,,,,,,,,,,0.0025,0.0002580200852693451
59,2026-06-30,000977 CH Equity,CNE0000012M2,27213901W,,-0.010869565217391304,,,,,0.015873015873015872,,,0.006578947368421052,,,,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,,0.005319148936170213,,,,-0.023255813953488372,-0.01282051282051282,-0.005154639175257732,0.0025,-0.0006437353876466099
60,2026-06-30,000981 CH Equity,CNE000001352,27215701W,,,,,,,,,-0.017241379310344827,-0.013157894736842105,,0.0125,0.007575757575757576,0.058823529411764705,,-0.011627906976744186,-0.011627906976744186,0.0625,0.0031847133757961785,,,-0.017857142857142856,,,0.003355704697986577,-0.01282051282051282,,0.0025,0.0007308255311799565
61,2026-06-30,000983 CH Equity,CNE0000013Y5,25137101W,-0.007633587786259542,-0.010869565217391304,,,,,,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,-0.020833333333333332,,-0.02564102564102564,,0.003355704697986577,,-0.005154639175257732,0.0025,-0.0034974540636261314
62,2026-06-30,000988 CH Equity,CNE000001303,25900801W,,,,,,,,,,0.006578947368421052,,,,,,0.011627906976744186,0.011627906976744186,,0.0031847133757961785,,0.005319148936170213,,0.01282051282051282,,0.003355704697986577,,0.01,0.0025,0.0022814386725636474
63,2026-06-30,000999 CH Equity,CNE0000011K8,25135901W,,,,,,,,,0.008771929824561403,,,0.0125,,,,0.011627906976744186,0.011627906976744186,,,0.010101010101010102,0.005319148936170213,,,,0.003355704697986577,0.0064516129032258064,,0.0025,0.0019643404679528177
64,2026-06-30,001203 CH Equity,CNE100004JY8,34746201W,,,-0.010638297872340425,,-0.00980392156862745,,,-0.012048192771084338,,,,,,,,,,,,,,,,,,,0.01,0.0025,-0.0009370502792139953
65,2026-06-30,001309 CH Equity,CNE100005GP9,35376601W,,,0.010526315789473684,0.010526315789473684,0.009708737864077669,,,,,0.006578947368421052,,,,,,-0.011627906976744186,-0.011627906976744186,,0.0031847133757961785,,0.005319148936170213,0.017857142857142856,0.01282051282051282,,-0.023255813953488372,-0.01282051282051282,0.01,0.0025,0.0017430616689084054
66,2026-06-30,001389 CH Equity,CNE100006HM2,36087201W,,0.011111111111111112,0.010526315789473684,0.010526315789473684,0.009708737864077669,-0.011627906976744186,-0.016129032258064516,,,0.006578947368421052,,,,,,,0.011627906976744186,,0.0031847133757961785,,0.005319148936170213,0.017857142857142856,0.01282051282051282,,0.003355704697986577,,0.01,,0.0034207220215891868
67,2026-06-30,001965 CH Equity,CNE1000032B1,32631201W,-0.007633587786259542,-0.010869565217391304,,,,,,,,-0.013157894736842105,,,-0.022222222222222223,,0.013888888888888888,,0.011627906976744186,,-0.012658227848101266,,,-0.017857142857142856,,,-0.023255813953488372,,-0.005154639175257732,-0.009900990099009901,-0.0039694360512193575
68,2026-06-30,002001 CH Equity,CNE000001J84,27070401W,0.014285714285714285,0.011111111111111112,0.010526315789473684,0.010526315789473684,0.009708737864077669,-0.011627906976744186,-0.016129032258064516,-0.012048192771084338,,,,,,,,,,,,,,,,,,,,-0.009900990099009901,0.0003024408148095351
69,2026-06-30,002007 CH Equity,CNE000001JN8,27076001W,,-0.010869565217391304,-0.010638297872340425,-0.010526315789473684,-0.00980392156862745,,,,-0.017241379310344827,,,0.0125,,,,,,,,,0.005319148936170213,,,,-0.023255813953488372,,,0.0025,-0.002783532619416827
70,2026-06-30,002008 CH Equity,CNE000001JQ1,27069601W,-0.007633587786259542,0.011111111111111112,0.010526315789473684,0.010526315789473684,0.009708737864077669,,,-0.012048192771084338,,,,,,,,,,,0.0031847133757961785,0.010101010101010102,,0.017857142857142856,,,0.003355704697986577,,0.01,0.0025,0.0028972641370906323
71,2026-06-30,002027 CH Equity,CNE000001KK2,27088901W,,,,,,,,,,,,,,,,,,,,-0.02,0.005319148936170213,,,0.05,,0.0064516129032258064,-0.005154639175257732,-0.009900990099009901,0.0017731040959353189
72,2026-06-30,002028 CH Equity,CNE000001KM8,27088301W,0.014285714285714285,,,0.010526315789473684,,-0.011627906976744186,,-0.012048192771084338,,0.006578947368421052,,,0.007575757575757576,,,,,,0.0031847133757961785,0.010101010101010102,,,,,0.003355704697986577,,,0.0025,0.0008994089180350005
73,2026-06-30,002049 CH Equity,CNE000001M14,27334601W,,,,,,-0.011627906976744186,-0.016129032258064516,,,,,,,,,,,,-0.012658227848101266,,-0.020833333333333332,-0.017857142857142856,-0.02564102564102564,,0.003355704697986577,,-0.005154639175257732,0.0025,-0.004547495215840777
74,2026-06-30,002050 CH Equity,CNE000001M22,27311401W,0.014285714285714285,,,,,-0.011627906976744186,,-0.012048192771084338,,0.006578947368421052,,,,,0.013888888888888888,,,,0.0031847133757961785,0.010101010101010102,,,,,-0.023255813953488372,,,0.0025,-0.00070990283414012
