style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Volatility,Volatility,MP
factor_weight,,,,,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.025000010803,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,0.039473678525,1.0
factor,,,,,6MChgTgtPrcGapEMA,EPSEstDispFY1C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,AdjIntCov,IntCovRatio,ShareChg,AdjAccruals,AssetTurn,CapExToSales,DepToCapex,ETO,InvToAsset,InvToAstChg1Y,SalesToEPSChg,SalesToInvCap,UnexpectedRecChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,50DVolSig,STO,STO_6M,InvPEGYC,OCFEV,90DCV,Beta60M,AGG
39,2026-05-31,000750 CH Equity,CNE0000008K4,27196601W,,,,,,,,,,0.008771929824561403,0.006756756756756757,,0.0125,,,,,0.004366812227074236,,,,,,,,,,-0.005291005291005291,0.002564102564102564,0.0007022469385799244
40,2026-05-31,000768 CH Equity,CNE000000RF9,27104601W,,-0.011235955056179775,,,,,,,,-0.017543859649122806,,0.01020408163265306,,0.007633587786259542,,0.012987012987012988,,0.004366812227074236,-0.02040816326530612,,,,,0.003278688524590164,-0.022727272727272728,,-0.013333333333333334,,0.002564102564102564,-0.0017053460285785397
41,2026-05-31,000776 CH Equity,CNE0000008L2,27199901W,,,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,,-0.017543859649122806,0.006756756756756757,,,,,,,,0.010101010101010102,,,,,,,0.015384615384615385,,0.01020408163265306,0.002564102564102564,0.002329351639727775
42,2026-05-31,000783 CH Equity,CNE000000SH3,25137601W,0.014285714285714285,,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,,-0.017543859649122806,0.006756756756756757,,0.0125,,,,,0.004366812227074236,0.010101010101010102,,,,,-0.00980392156862745,,,,0.01020408163265306,0.002564102564102564,0.00232064761063427
43,2026-05-31,000786 CH Equity,CNE000000QS4,25983101W,-0.007633587786259542,0.003968253968253968,-0.012195121951219513,,,,,,-0.006944444444444444,,0.006756756756756757,0.01020408163265306,,,,0.012987012987012988,,,,,,,,0.003278688524590164,0.017241379310344827,,0.006622516556291391,-0.005291005291005291,0.002564102564102564,0.0008122800771038542
44,2026-05-31,000792 CH Equity,CNE000000SW2,26009701W,0.014285714285714285,0.003968253968253968,,0.010752688172043012,0.010638297872340425,0.009900990099009901,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.002186397138458259
45,2026-05-31,000807 CH Equity,CNE000000VG9,26026901W,,0.003968253968253968,0.012345679012345678,0.010752688172043012,0.010638297872340425,0.009900990099009901,-0.015625,-0.016666666666666666,,,,,,,,,,,,,,,,0.003278688524590164,,0.015384615384615385,,-0.005291005291005291,0.002564102564102564,0.0012335778607162283
46,2026-05-31,000830 CH Equity,CNE000000WN3,27202401W,,-0.011235955056179775,,,-0.010752688172043012,,,,,,,,,,,,,,,,,,,0.003278688524590164,,,,-0.005291005291005291,-0.01,-0.0013421429643546774
47,2026-05-31,000831 CH Equity,CNE000000WS2,26016801W,-0.007633587786259542,,,,,,-0.015625,-0.016666666666666666,,,,,,,,,,,,,,,,-0.00980392156862745,,,,-0.005291005291005291,0.002564102564102564,-0.00207063438917544
48,2026-05-31,000858 CH Equity,CNE000000VQ8,24368301W,,,,,,,,,,,-0.0136986301369863,0.01020408163265306,-0.02564102564102564,-0.022727272727272728,,0.012987012987012988,,-0.013157894736842105,,,,,,0.003278688524590164,,-0.015873015873015872,0.006622516556291391,,,-0.0015365731171178114
49,2026-05-31,000876 CH Equity,CNE000000VB0,25955001W,-0.007633587786259542,,-0.012195121951219513,,-0.010752688172043012,-0.009900990099009901,,,0.013157894736842105,0.008771929824561403,0.006756756756756757,0.01020408163265306,0.0125,0.007633587786259542,,,,0.004366812227074236,,,,0.013513513513513514,,-0.00980392156862745,,,0.006622516556291391,,,0.0005850778145718639
50,2026-05-31,000878 CH Equity,CNE000000W13,26027101W,,-0.011235955056179775,0.012345679012345678,0.010752688172043012,0.010638297872340425,,,,-0.006944444444444444,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.0008446994827255375
51,2026-05-31,000893 CH Equity,CNE000000XS0,27206301W,,0.003968253968253968,,,0.010638297872340425,,0.015384615384615385,0.01639344262295082,,,,,,,,,,,,,,,,0.003278688524590164,,,,,0.002564102564102564,0.0020616076347545215
52,2026-05-31,000895 CH Equity,CNE000000XM3,26000401W,-0.007633587786259542,,,,,0.009900990099009901,0.015384615384615385,0.01639344262295082,,,0.006756756756756757,0.01020408163265306,0.0125,0.007633587786259542,0.058823529411764705,0.012987012987012988,,0.004366812227074236,,,,,,0.003278688524590164,,0.015384615384615385,,,,0.004912404558374528
