style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Price Momentum,Valuation,Valuation,Valuation,Volatility,Volatility,Volatility,MP
factor_weight,,,,,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.026315785944461823,0.9999998658895493
factor,,,,,6MChgTgtPrcGapEMA,EBITEstDisp,EPSEstDispFY1C,EPSEstDispFY2C,EPSNumRevFY1C,Rev3MFY1C,Rev3MFY2C,AdjIntCov,DebtChg1Y,FinLev,IntCovRatio,ShareChg,CapExToSales,DepToCapex,EPSToOCFChg,InvToAsset,InvToAst,InvToAstChg1Y,SalesToEPSChg,3YAvgAnnSalesGrw,DIVIDENDGROWTH,DivperShareGrowth,TTMOverheadtoSales,50DVolSig,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Chg1YTurnover,IO_TO,PM1M,STO,STO_6M,DivToCF,InvPEGYC,OCFEV,90DCV,Beta60M,YoYChgDA,AGG
49,2026-04-30,000878 CH Equity,CNE000000W13,26027101W,-0.007407407407407408,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,,,0.020833333333333332,,,,,,,,,,,,,,,,,0.009615384615384616,,,0.009009009009009009,,,0.007936507936507936,,,,0.002506265664160401,,0.0006654493129235974
50,2026-04-30,000893 CH Equity,CNE000000XS0,27206301W,,,0.0036363636363636364,,,,,0.02702702702702703,,,0.01639344262295082,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,-0.023809523809523808,,,,0.002506265664160401,,0.0005134029753229546
51,2026-04-30,000895 CH Equity,CNE000000XM3,26000401W,-0.007407407407407408,,,-0.0136986301369863,-0.011494252873563218,,,0.02702702702702703,,,0.01639344262295082,0.013333333333333334,0.01,0.012345679012345678,,0.058823529411764705,,0.01282051282051282,,,,,,,,0.009615384615384616,-0.009708737864077669,,,-0.009345794392523364,0.003194888178913738,,0.007936507936507936,,,,,-0.014492753623188406,0.0027721766982482495
52,2026-04-30,000932 CH Equity,CNE000001006,25133201W,,,0.0036363636363636364,,,-0.010638297872340425,-0.01020408163265306,-0.027777777777777776,,,-0.016666666666666666,0.013333333333333334,,,,,,,,,,,,,,-0.019230769230769232,0.009615384615384616,,,0.009009009009009009,0.003194888178913738,,0.007936507936507936,,,-0.005376344086021506,0.002506265664160401,,-0.001070057353666633
53,2026-04-30,000933 CH Equity,CNE000001097,26000301W,,,0.0036363636363636364,,0.01282051282051282,0.010752688172043012,0.010101010101010102,-0.027777777777777776,,,,0.013333333333333334,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,,,,,0.015151515151515152,,,0.002506265664160401,0.014084507042253521,0.001434606778517927
54,2026-04-30,000938 CH Equity,CNE0000010T1,26022301W,,,0.0036363636363636364,,,,,,,,,,,,-0.014705882352941176,,,,,,,,,,,,-0.009708737864077669,,,-0.009345794392523364,,,,,0.00641025641025641,-0.005376344086021506,0.002506265664160401,,-0.0006995755110423179
55,2026-04-30,000960 CH Equity,CNE0000011D3,27024101W,-0.007407407407407408,,0.0036363636363636364,-0.0136986301369863,,,,,,0.020833333333333332,,-0.007352941176470588,,,,,,,,,,,,,,0.009615384615384616,0.009615384615384616,,,0.009009009009009009,-0.009615384615384616,,,,,0.010416666666666666,0.002506265664160401,0.014084507042253521,0.0010958564647790938
56,2026-04-30,000963 CH Equity,CNE0000011S1,26000801W,,,,,,0.010752688172043012,0.010101010101010102,,,,,,0.01,,,,,,,,,,,,,-0.019230769230769232,,,,,0.003194888178913738,-0.020833333333333332,,,0.00641025641025641,,0.002506265664160401,,7.63422519269967e-05
57,2026-04-30,000975 CH Equity,CNE0000012L4,27115501W,0.014285714285714285,0.022222222222222223,0.0036363636363636364,0.0136986301369863,0.01282051282051282,0.010752688172043012,0.010101010101010102,-0.027777777777777776,,-0.021739130434782608,-0.016666666666666666,,,,,,,,,,,,,,,0.009615384615384616,-0.009708737864077669,,,,0.003194888178913738,,0.007936507936507936,,,0.010416666666666666,0.002506265664160401,,0.0011919614636502528
58,2026-04-30,000977 CH Equity,CNE0000012M2,27213901W,,,0.0036363636363636364,,,,,,,,0.01639344262295082,,,,,,,,,,,,,,,,,,,,,-0.020833333333333332,,,-0.012987012987012988,-0.005376344086021506,0.002506265664160401,,-0.0004384372696981555
