factorId,factorAbbreviation,factorName,factorShortName,styleName,factorOrder
475,UT_1YGrFuelCostElecGas,"1 Yr Grw Fuel Cost - Electric,Gas",Util: 1YGr FuelCst ElcGas,Historical Growth,1
476,UT_1YGrElecGasWaterSales,"1 Yr Grw Electric,Gas,Water Sales",Util: 1Y Gr ElecGasWtrSls,Historical Growth,0
477,UT_1YGrAvgRevperKWh,1 Yr Grw Avg Revenue per KWh,Util: 1YGr AvgRev/KWh,Historical Growth,0
478,UT_1YGrOpRevElecGasWater,"1 Yr Grw Oper Revenue - Elec,Gas,Water",Util: 1YGrOpRev ElcGasWtr,Historical Growth,0
479,TEL_1YrGrWirelessSubs,1 Yr Grw Wireless Subscribers,Telcm: 1Y Gr Wrls Subscrb,Historical Growth,0
480,ROEStab,Return on Equity Stability,ROEStab,Historical Growth,0
481,DIVIDENDGROWTH,Dividend Growth,DivGrw,Historical Growth,0
482,60MAVGTTMROE,Normalized ROE,NormROE,Capital Efficiency,0
483,60MAVGTTMROA,Normalized ROA,NormROA,Capital Efficiency,0
484,ROASTAB,Return on Assets Stability,ROAStab,Historical Growth,0
485,60MAVGTTMEP,Normalized EP,NormEP,Valuation,0
486,PAYOUTRATIO,Payout Ratio,PayoutRatio,Capital Efficiency,1
487,NIStab,Net Income Stability,Net Income Stability,Earnings Quality,0
488,LTGC,Expected LTG,Long Term Growth,Analyst Expectations,0
489,EstDiffC,Analyst Earnings Estimate Diffusion,Analyst Diffusion,Analyst Expectations,0
490,Rev3MFY1C,3M Revision in FY1 EPS Estimate,3MRevFY1,Analyst Expectations,0
491,Rev3MFY2C,3M Revision in FY2 EPS Estimate,3MRevFY2,Analyst Expectations,0
492,RevMagFY1C,Street Revision Magnitude,StreetRev,Analyst Expectations,0
493,EPSSurpC,Earnings Surprise,ESurprise,Analyst Expectations,0
494,EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,DispFY1EPS,Analyst Expectations,0
495,SUEC,Standardized Unexpected Earnings,SUE,Analyst Expectations,0
496,AdjEPSNumRevFY1C,Adjusted Number of EPS FY1 Revisions,Adj Num of EPS FY1 Rev.,Analyst Expectations,0
497,InvPEGC,Inverse PEG,Inverse PEG,Analyst Expectations,0
498,EPSEstDispFY2C,Analyst Dispersion for FY2 EPS,DispFY2EPS,Analyst Expectations,0
499,EPSNumRevFY1C,Number of EPS FY1 Revisions,Num FY1 EPS Rev,Analyst Expectations,0
500,AdjFwdEPC,Adjusted Forward Earnings to Price,Adjusted Fwd EP,Valuation,0
501,AdjRev3MFY1C,Adjusted 3M Revision in FY1 EPS Estimate,Adj 3M FY1 EPS Rev,Analyst Expectations,0
502,6MAvgChg1MRecC,6M Avg Chg 1M Recommendation,6M Avg Chg 1M Rec,Analyst Expectations,1
503,AdjEPSNumRevFY2C,Adj Number of EPS FY2 Revisions,Adj Num of EPS FY2 Revs,Analyst Expectations,0
504,AdjRevMagC,Adjusted Revision Magnitude,Adj Rev Mag,Analyst Expectations,0
505,PM-style,Price Momentum,Price Momentum,Price Momentum,1
506,HG-style,Historical Growth,Historical Growth,Historical Growth,1
507,CE-style,Capital Efficiency,Capital Efficiency,Capital Efficiency,1
508,Val-style,Valuation,Valuation,Valuation,1
509,EQ-style,Earnings Quality,Earnings Quality,Earnings Quality,1
510,Sz-style,Size,Size,Size,1
511,Vol-style,Volatility,Volatility,Volatility,1
512,AE-style,Analyst Expectations,Analyst Expectations,Analyst Expectations,1
513,AdjFwdFCFPC,Adj Forward Free Cash Flow to Price Ratio,Adjusted Fwd FCFP,Valuation,0
514,FwdEPC,Forward Earnings to Price,Fwd Earnings / Price,Valuation,0
515,FwdFCFPC,Forward Free Cash Flow to Price Ratio,Fwd FCF / Price,Valuation,0
516,InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Inverse PEGY,Valuation,0
517,AdjInvPEGC,Adjusted Inverse PEG,Adj Inverse PEG,Analyst Expectations,0
518,IndRel_LTGC,Ind Grp Rel Expected LTG,Ind Rel Long Term Growth,Analyst Expectations,0
519,IndRel_SUEC,Ind Grp Rel Standardized Unexpected Earnings,Ind Rel SUE,Analyst Expectations,0
520,IndRel_EPSEstDispFY1C,Ind Grp Rel Analyst Dispersion for FY1 EPS,Ind Rel DispFY1EPS,Analyst Expectations,0
521,IndRel_EPSSurpC,Ind Grp Rel Earnings Surprise,Ind Rel ESurprise,Analyst Expectations,0
522,IndRel_InvPEGC,Ind Grp Rel Inverse PEG,Ind Rel Inverse PEG,Analyst Expectations,0
523,IndRel_FwdEPC,Ind Grp Rel Forward Earnings to Price,Ind Rel FwdEarnings/Price,Valuation,0
524,IndRel_FwdFCFPC,Ind Grp Rel Forward Free Cash Flow to Price Ratio,Ind Rel Fwd FCF / Price,Valuation,0
525,IndRel_InvPEGYC,Ind Grp Rel Inverse P/E Ratio Adj for Growth and Yield,Ind Rel Inverse PEGY,Valuation,0
526,5YRel_FwdEPC,5 Yr Hist Rel Forward Earnings to Price,5Y Rel FwdEarnings/Price,Valuation,0
527,5YRel_FwdFCFPC,5 Yr Hist Rel Forward Free Cash Flow to Price Ratio,5Y Rel Fwd FCF / Price,Valuation,0
528,5YRel_InvPEGYC,5 Yr Hist Rel Inverse P/E Ratio Adj for Growth and Yield,5Y Rel Inverse PEGY,Valuation,0
529,ROAStddev,ROA Standard Deviation,ROAStddev,Historical Growth,1
530,ROEStddev,ROE Standard Deviation,ROEStddev,Historical Growth,1
531,DivperShareGrowth,Dividend per Share Growth,DivperShareGrowth,Historical Growth,0
532,ROAStddev20Q,ROA 20 Qtr Standard Deviation,ROAStddev20Q,Earnings Quality,1
533,ROEStddev20Q,ROE 20 Qtr Standard Deviation,ROEStddev20Q,Earnings Quality,1
