factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total
WCapToAst,Working Capital to Total Assets,Earnings Quality,0.038614635963648336,18.0,120.0
OCFEV,Operating Cash Flow to Enterprise Value,Valuation,0.03844053564121186,13.0,121.0
5DVolSig,5 Day Volume Signal,Price Momentum,0.03831761789017629,35.0,122.0
PM5D,5 Day Price Reversal,Price Momentum,0.038058849521396265,36.0,123.0
20DStochastic,20-Day Lane's Stochastic Indicator,Price Momentum,0.03791462898165321,37.0,124.0
Chg1YAstTo,1Y Chg in Sales Turnover,Historical Growth,0.03775371706970354,21.0,125.0
QuickRatio,Quick Ratio,Earnings Quality,0.03767934704984177,19.0,126.0
Chg1YAmihud,1Y Chg in Amihud,Volatility,0.036833153784943784,5.0,127.0
ChgSalestoChgEPS,Change of Sales to Change of EPS,Earnings Quality,0.036736044827491154,20.0,128.0
IO_Foreign,Foreign Institution Ownership,Price Momentum,0.03641984877700666,38.0,129.0
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.03624388630857611,22.0,130.0
IO_ChgofNumBY,Change in Number of Buyers,Price Momentum,0.03593167944061837,39.0,131.0
LogAssets,Log of Total Last Quarter Assets,Size,0.0359105141662841,1.0,132.0
IO_BreadthStabBY,Ownership Breadth Stability of Institution Ownership by Buyers,Price Momentum,0.03573420196797228,40.0,133.0
CashAst,Cash to Total Assets,Valuation,0.0357290298970554,14.0,134.0
CACL,Current Ratio,Earnings Quality,0.03564497243690545,21.0,135.0
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.03492387941190955,22.0,136.0
3YAvgAnnSalesGrw,3Y Average Annual Sales Growth,Historical Growth,0.034884489519065864,23.0,137.0
CashToSales,Cash to Sales,Earnings Quality,0.034797565011031484,23.0,138.0
Chg1YCF,1Y Chg in Cash Flow per Share,Historical Growth,0.034772334043434716,24.0,139.0
130DMinRtn,130 Day Minimum Return,Volatility,0.034474053363384716,6.0,140.0
ShareChg,1Y Chg in Shares Outstanding,Capital Efficiency,0.03446011078142086,14.0,141.0
WCA,Working Capital to Assets Ratio,Earnings Quality,0.03426942718951054,24.0,142.0
WCTurn,Working Capital Turnover Ratio,Capital Efficiency,0.03378962872302882,15.0,143.0
FCFP,Free Cash Flow to Price,Valuation,0.03374489366734723,15.0,144.0
OCFP,Operating Cash Flow to Price,Valuation,0.033642092188129524,16.0,145.0
AnnVol12M,12M Realized Price Volatility,Volatility,0.03353043905078357,7.0,146.0
ROA60MSlope,ROA 60 Month Slope,Earnings Quality,0.03339913327400845,25.0,147.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.03337439969956901,25.0,148.0
SGAToSalesChg1Y,Year over Year Change in SGA to Sales,Earnings Quality,0.032912070619589784,26.0,149.0
Chg3YAstTo,3Y Chg in Sales Turnover,Historical Growth,0.032323613478580704,26.0,150.0
REToAst,Retained Earnings to Total Assets,Earnings Quality,0.03224078370511596,27.0,151.0
PAYOUTRATIO,Payout Ratio,Capital Efficiency,0.03214747920565464,16.0,152.0
GrPftToAst,Gross Profit to Assets,Capital Efficiency,0.031998213192582226,17.0,153.0
DA,Debt to Assets Ratio,Capital Efficiency,0.03164554602034508,18.0,154.0
ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.03156148114063084,28.0,155.0
SEV,Sales to EV Ratio,Valuation,0.03151768087604645,17.0,156.0
GFP,Growth Flow to Price,Valuation,0.031452681958165085,18.0,157.0
24MResRtnVar,24M Residual Return Variance,Price Momentum,0.03143171637386577,41.0,158.0
EBITDAEV,EBITDA to Enterprise Value,Valuation,0.03137533229489575,19.0,159.0
Chg3YOPM,3Y Chg in Operating Margin,Historical Growth,0.03126810580618389,27.0,160.0
Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.03125090142281306,28.0,161.0
NCAP,Net Current Assets to Price Ratio,Valuation,0.031135454812926566,20.0,162.0
AdjFwdEPC,Adjusted Forward Earnings to Price,Valuation,0.03083719865044987,21.0,163.0
60MAVGTTMROA,Normalized ROA,Capital Efficiency,0.030779399530183715,19.0,164.0
Chg3YEPS,3Y Chg in Earnings per Share,Historical Growth,0.0307119558350486,29.0,165.0
YoYChgDA,1Y Chg in Debt to Assets,Volatility,0.030458911903709307,8.0,166.0
IO_ChgofNumHD,Change in Number of Holders,Price Momentum,0.030021808270650707,42.0,167.0
InvToAsset,Asset Adjusted Capital Investments,Earnings Quality,0.029549085908219475,29.0,168.0
EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,Analyst Expectations,0.029284001249343605,20.0,169.0
DebtChg1Y,Year over Year Change of Total Debt,Capital Efficiency,0.028946779051127303,20.0,170.0
AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.028856071710403386,30.0,171.0
EBITEstDisp,EBIT Estimate Dispersion,Analyst Expectations,0.028803160182941046,21.0,172.0
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.02871917658717571,30.0,173.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.028715584202167355,31.0,174.0
IO_BreadthStabHD,Ownership Breadth Stability of Institution Ownership by Holders,Price Momentum,0.028662653899443447,43.0,175.0
60MAVGTTMEP,Normalized EP,Valuation,0.028390264452673897,22.0,176.0
SolvencyRatio,Solvency Ratio,Valuation,0.02838225425915164,23.0,177.0
OEA,Operating Earnings to Assets Ratio,Earnings Quality,0.027998768428972864,31.0,178.5
ROA,Return on Assets,Capital Efficiency,0.027998768428972864,21.0,178.5
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.02791985141987241,32.0,180.0
BookLev,Book Leverage,Volatility,0.027821123946397464,9.0,181.0
DivToCF,Dividends to Cash Flow,Valuation,0.02742348446054499,24.0,182.0
SGAToSales,SG&A to Sales,Earnings Quality,0.027392897539151084,32.0,183.0
BP,Book to Price,Valuation,0.02735091428568892,25.0,184.0
DivP,Dividends to Price Ratio,Valuation,0.026074896084262944,26.0,185.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.02572381497049725,33.0,186.0
4WChgFwd12MEPS,4-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.025501424247891924,27.0,187.0
ChgSalesMargin,Sales to Gross Profit Margin Growth,Earnings Quality,0.02549558309413591,33.0,188.0
DepToCapex,Depreciation to Capex Ratio,Earnings Quality,0.025357499817748375,34.0,189.0
OPM,Operating Margin,Earnings Quality,0.025268604758803992,35.0,190.0
EBITMargin,EBIT Margin,Earnings Quality,0.025231055342523456,36.0,191.0
WCapToSales,Working Capital to Sales,Earnings Quality,0.024809676772806544,37.0,192.0
DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.023961553777970712,34.0,193.0
EPSEstDispFY2C,Analyst Dispersion for FY2 EPS,Analyst Expectations,0.023310929009318304,22.0,194.0
NIStab,Net Income Stability,Earnings Quality,0.023121856807014174,38.0,195.0
CVVolPrc30D,30 Day Coefficient of Variation of Volume to Price,Price Momentum,0.022971553419134372,44.0,196.0
EPSToOCFChg,1Y Chg in EPS to Operating Cash Flow,Earnings Quality,0.022763706004807593,39.0,197.0
Chg1YTurnover,1Y Chg in Share Turnover,Price Momentum,0.022420641308598332,45.0,198.0
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.022340478995473312,28.0,199.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.021928876663338315,35.0,200.0
CurLiaP,Current Liability to Price,Valuation,0.021582270219243638,29.0,201.0
IO_InvDuration,Investment Duration,Price Momentum,0.02145494829973349,46.0,202.0
ETO,Equity Turnover,Earnings Quality,0.021129289549203456,40.0,203.0
FwdFCFPC,Forward Free Cash Flow to Price Ratio,Valuation,0.020775218538491735,30.0,204.0
RSI26W,26W Relative Price Strength,Price Momentum,0.020711185762370077,47.0,205.0
ChgDeprCapex,Change in TTM Depr. to Capex,Earnings Quality,0.020468914760064516,41.0,206.0
AstAdjChg3YCF,3Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.020117381902223785,36.0,207.0
CFEV,Net Cash Flow to Enterprise Value,Valuation,0.019550669888524386,31.0,208.0
PAdjChg3YEPS,3Y Chg in Earnings to Price,Historical Growth,0.019337636322313667,37.0,209.0
PTMargin,Pretax Profit Margin,Capital Efficiency,0.0186000789544587,22.0,210.0
IO_Level_AM,Institution Ownership Level - Active Manager,Price Momentum,0.018240194584316027,48.0,211.0
IO_Level,Institution Ownership Level,Price Momentum,0.017854632499241463,49.0,212.0
