case,n,first,overall,p1_pre2018,p2_18_22,p3_2023+,yearly_std,yearly_min,yearly_max
baseline_nocap_0.3,160,2012-12,0.6787700129850518,1.048707302168479,0.6520203747429665,0.3335691172902122,1.2463712774155744,-0.9872026603096784,2.9591738377124344
baseline_nocap_0.5,160,2012-12,0.6777611200717207,1.0500077872140765,0.6495579593742181,0.33527766434604267,1.2536895226371565,-0.9678866782250638,2.995899564114649
baseline_nocap,160,2012-12,0.6752153118104042,1.051039284052638,0.6437340294059078,0.3391767128754366,1.2693155323260614,-0.9226289339266062,3.083234042216704
baseline_rebal12,160,2012-12,0.6740877646001315,1.184027515432426,0.6031872409395539,0.29385567373531585,1.2803191131346068,-0.9988568001040139,3.018477667593133
cluster_30,160,2012-12,0.64359252654683,0.7604035996259413,0.38844943469698723,0.8409260404220559,1.2756178071187325,-0.43880778562752554,4.034947950792871
smooth_0.5,160,2012-12,0.6326399558378945,1.002379388630646,0.6168765542767511,0.2694581036286383,1.222361346544467,-1.0478051114498712,2.8971846992511376
smooth_0.7,160,2012-12,0.6325368777107878,1.0052147989474494,0.6153060432915644,0.27129924418424517,1.2316278283384858,-1.0239721179462467,2.9581220616956547
baseline,160,2012-12,0.6322549029410401,1.0083314704318758,0.6129731649980871,0.2738667119770098,1.243517672836675,-0.9898779055614058,3.032070179845141
combo_18_0.1_shrunk,160,2012-12,0.6185618494043217,0.6435924116914594,0.43529211580209376,0.8162710616990306,0.8369908892580851,-0.8210644369348435,2.7621578675603815
cluster_24,160,2012-12,0.6109623511505173,0.8640337077671686,0.10218920122743888,0.9223023463664293,1.0480526793855127,-0.7613367956037439,2.5615195667180504
baseline_cagr,160,2012-12,0.6056403236926645,1.1681743706042145,0.31677306667737654,0.3775639148001663,1.0988727013269237,-0.5293046952121977,3.441106385995535
combo_18_0.1_cagr,160,2012-12,0.6018116282044386,0.5855168143610312,0.4752759831070676,0.7991666515936272,0.7054328567716167,-0.4980119302824237,2.1319267912105095
cluster_20,160,2012-12,0.5974565048230184,0.6456673046219051,0.2596489191538219,0.9851524222366466,0.9684108470976994,-0.7600710477761562,2.7063214038584085
baseline_rebal3,160,2012-12,0.5957364176152372,0.958704707408997,0.5866393402124391,0.24089888676038823,1.286293162662283,-1.1806826174791187,3.0625183214061042
baseline_shrunk,160,2012-12,0.5608942014691809,0.8155956766288651,0.5879074779241384,0.23443268493920952,1.3416023199058704,-1.4112174421535775,3.327837558461457
cluster_8,160,2012-12,0.5491766561362385,0.7314715809934599,0.12576372655162182,0.887809177083062,0.8007417280481239,-1.489773855693923,1.5750826603069608
cluster_40,160,2012-12,0.45644294018185566,0.6673127376410825,0.25668246648987864,0.4143031195522453,2.079255385867397,-0.9201075258637238,7.192559761505485
combo_18_0.1_rebal3,160,2012-12,0.4553027555198576,0.5381729829946285,0.1636803393784742,0.7411416044745471,1.0205377749466655,-0.8720050133210221,2.873627164623812
cluster_n30_keep1_top30,160,2012-12,0.38051888638063647,0.39489603464542045,0.2808568422305046,0.48752959362268994,0.6679605150284338,-0.5549963511381741,2.038525248286383
cluster_n18_keep1_top18,160,2012-12,0.3500777392757926,0.2607979401064648,0.18834352098280424,0.6683666608774534,0.9355411875298795,-0.9269961643501898,2.6751296051545723
cluster_n50_keep1,160,2012-12,0.17993842929813347,0.31321717292991524,-0.27463769933703985,0.5717553463977288,0.9312176291730997,-0.978109934883754,2.7299893568169695
